1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-1.205565	0.000000	10.287835	0.029720	-1.214827	171.9
1	-1.224574	0.000000	10.287835	0.021026	-1.217050	24.6
2	-1.232730	0.000000	10.287835	0.011202	-1.217476	19.5
3	-1.229888	0.000000	10.287835	0.009548	-1.217374	13.2
4	-1.238714	0.997376	9.821377	0.011152	-1.217383	12.4
5	-1.228078	1.940776	9.417490	0.009547	-1.217743	13.2
6	-1.227163	2.940776	9.024124	0.009958	-1.217863	13.5
7	-1.235725	3.940774	8.662303	0.011243	-1.217663	12.3
8	-1.218406	4.940772	8.328377	0.007803	-1.217916	17.5
9	-1.213393	5.940772	8.019241	0.009444	-1.217700	16.6
10	-1.222480	5.859765	8.043426	0.011960	-1.217879	11.8
11	-1.219136	6.859765	7.754715	0.004259	-1.217982	12.6
12	-1.223052	7.859519	7.486075	0.007039	-1.217920	13.6
13	-1.199458	7.778705	7.507097	0.006454	-1.218007	13.3
14	-1.220137	8.750506	7.261878	0.009145	-1.217928	19.2
15	-1.217747	8.688964	7.276931	0.005211	-1.217917	14.7
16	-1.230357	9.685856	7.040525	0.006493	-1.217932	17.6
17	-1.244115	9.644922	7.049929	0.005143	-1.217894	12.2
18	-1.230801	9.802325	7.013904	0.006652	-1.217925	13.0
19	-1.219819	9.882103	6.995784	0.009274	-1.217755	12.5
20	-1.216833	9.801623	7.014063	0.010009	-1.217903	14.3
21	-1.221775	10.801623	6.793506	0.004200	-1.217944	13.4
22	-1.240407	11.297329	6.689238	0.009137	-1.217895	18.3
23	-1.224910	11.218850	6.705532	0.007982	-1.217977	12.8
24	-1.239858	11.563786	6.634503	0.009576	-1.217905	12.6
25	-1.207731	12.563786	6.436835	0.005442	-1.217830	14.0
26	-1.201049	12.750375	6.401248	0.008078	-1.217952	12.2
27	-1.226967	13.747384	6.217577	0.013165	-1.217743	12.7
28	-1.227867	13.666147	6.232147	0.007459	-1.217913	14.3
29	-1.230735	14.666147	6.057412	0.008340	-1.217937	18.8
30	-1.209075	14.817723	6.031778	0.007453	-1.217956	15.6
31	-1.213791	14.797929	6.035113	0.008492	-1.217994	13.7
32	-1.232438	14.793385	6.035879	0.010463	-1.217862	17.9
33	-1.221455	15.793385	5.871831	0.012184	-1.217909	12.6
34	-1.184654	16.793385	5.716464	0.007364	-1.217787	17.4
35	-1.242662	17.644584	5.590551	0.012559	-1.217855	12.3
36	-1.223705	18.644584	5.449535	0.007872	-1.217979	13.5
37	-1.236341	19.644584	5.315457	0.006464	-1.217914	11.9
38	-1.237457	20.478086	5.208643	0.007135	-1.217998	12.8
39	-1.213209	21.460094	5.088178	0.007278	-1.217952	14.5
40	-1.220819	22.448278	4.972453	0.009094	-1.217903	12.9
41	-1.216034	22.367068	4.981765	0.010739	-1.217824	12.9
42	-1.218828	22.286076	4.991086	0.014977	-1.217912	13.7
43	-1.219492	23.286076	4.878385	0.006568	-1.217863	13.8
44	-1.201362	23.204913	4.887342	0.009979	-1.217954	12.7
45	-1.199287	23.125281	4.896162	0.005962	-1.217925	13.9
46	-1.223242	23.044325	4.905162	0.005324	-1.217907	14.0
47	-1.236600	23.849046	4.817149	0.010908	-1.217896	15.4
48	-1.213714	24.770824	4.720136	0.008067	-1.217917	12.9
49	-1.224444	25.763068	4.619982	0.006518	-1.217938	13.5
50	-1.239295	26.762715	4.523288	0.007129	-1.217908	14.5
51	-1.238583	26.732885	4.526115	0.006755	-1.217885	13.0
52	-1.192653	26.874452	4.512731	0.007105	-1.217930	14.0
53	-1.190853	27.523686	4.452352	0.008988	-1.217991	14.7
54	-1.227896	28.523637	4.362453	0.006612	-1.217972	13.1
55	-1.221980	28.442542	4.369608	0.009611	-1.217861	15.2
56	-1.213855	28.361309	4.376799	0.018358	-1.217875	13.9
57	-1.228997	29.361309	4.289891	0.008128	-1.217968	12.5
58	-1.234293	30.361309	4.206367	0.008516	-1.217992	14.4
59	-1.228083	30.293385	4.211937	0.010191	-1.217943	13.3
60	-1.202288	30.212149	4.218619	0.010277	-1.217958	12.8
61	-1.227494	31.211851	4.137845	0.007188	-1.218001	14.2
62	-1.247341	32.210893	4.060156	0.013225	-1.217985	13.2
63	-1.216375	33.207609	3.985502	0.006663	-1.218000	11.9
64	-1.233525	33.584156	3.958008	0.009241	-1.218020	12.9
65	-1.220060	34.520848	3.891233	0.008787	-1.218014	13.5
66	-1.257072	34.448624	3.896301	0.009571	-1.217990	12.7
67	-1.199131	35.090843	3.851690	0.005776	-1.217996	14.4
68	-1.219542	35.010118	3.857241	0.007724	-1.217968	18.1
69	-1.213081	35.063501	3.853568	0.009881	-1.217932	13.1
70	-1.235407	34.982284	3.859159	0.007637	-1.217988	13.6
71	-1.207765	35.982284	3.791433	0.009105	-1.217992	14.1
72	-1.225917	36.922441	3.729893	0.007931	-1.217962	13.2
73	-1.220652	36.857283	3.734094	0.006135	-1.217978	12.9
74	-1.222538	37.563579	3.689060	0.008489	-1.218019	13.4
75	-1.191375	37.737009	3.678167	0.008546	-1.217967	16.9
76	-1.225148	38.736419	3.616630	0.007071	-1.217981	14.4
77	-1.214810	38.887326	3.607517	0.006193	-1.217956	15.0
78	-1.235060	38.811427	3.612095	0.008817	-1.217910	12.5
