1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.969774	0.000000	9.818834	0.019598	-0.976476	165.9
1	-0.998682	0.000000	9.818834	0.019949	-0.976045	30.5
2	-0.967088	1.000000	9.372523	0.022101	-0.976430	35.8
3	-0.985788	2.000000	8.965022	0.022499	-0.976447	36.1
4	-0.972628	3.000000	8.591480	0.023199	-0.976182	34.3
5	-0.978695	4.000000	8.247820	0.027183	-0.976167	36.7
6	-0.974153	5.000000	7.930596	0.022957	-0.976847	29.0
7	-0.990388	6.000000	7.636871	0.013787	-0.977454	28.0
8	-0.983346	7.000000	7.364125	0.019491	-0.976270	39.9
9	-0.989012	8.000000	7.110190	0.023070	-0.976819	27.2
10	-0.991653	9.000000	6.873184	0.020085	-0.977267	36.2
11	-0.988578	10.000000	6.651468	0.008808	-0.977309	35.5
12	-0.975355	11.000000	6.443610	0.013822	-0.977360	32.9
13	-0.985815	11.999982	6.248352	0.010561	-0.977111	38.5
14	-0.961391	11.945637	6.258659	0.015340	-0.977557	25.6
15	-0.974181	12.945637	6.074286	0.006441	-0.977500	34.0
16	-0.970076	12.848034	6.091802	0.012398	-0.977365	36.9
17	-0.975319	12.758543	6.107951	0.007024	-0.977312	29.3
18	-0.987125	12.676918	6.122755	0.013103	-0.977156	27.2
19	-0.983719	13.408117	5.992642	0.014904	-0.977187	38.5
20	-0.966374	14.408112	5.823397	0.011296	-0.977062	27.9
21	-0.985489	14.310505	5.839495	0.017504	-0.976876	34.2
22	-0.989262	15.310505	5.678674	0.013156	-0.977379	33.3
23	-0.991644	16.310505	5.526473	0.014322	-0.977467	33.9
24	-0.991675	17.310498	5.382219	0.018069	-0.977115	36.3
25	-0.988333	18.310498	5.245304	0.019605	-0.977212	35.7
26	-0.994736	19.310498	5.115181	0.014825	-0.977288	39.1
27	-0.987652	20.310498	4.991359	0.019851	-0.977274	34.7
28	-0.991953	20.214956	5.002929	0.013482	-0.977460	37.6
29	-0.973706	21.214956	4.884418	0.014157	-0.977457	29.9
30	-0.985527	22.002599	4.794955	0.011646	-0.977560	32.8
31	-0.990847	23.002585	4.685986	0.015154	-0.977309	33.0
32	-0.978400	24.002540	4.581864	0.018185	-0.976835	40.9
33	-0.965409	25.002540	4.482264	0.014805	-0.977518	38.0
34	-0.975834	26.002540	4.386901	0.012908	-0.977426	35.2
35	-0.985505	26.084764	4.379241	0.010512	-0.977457	30.6
36	-0.966102	27.084248	4.288213	0.015393	-0.977503	35.4
37	-0.981384	28.084244	4.200849	0.010945	-0.977571	27.6
38	-0.992384	29.084244	4.116974	0.010977	-0.977468	32.7
39	-0.987060	30.083258	4.036460	0.011052	-0.977612	33.9
40	-0.973154	31.083258	3.958960	0.013938	-0.977473	39.3
41	-0.997632	30.985670	3.966391	0.009501	-0.977492	34.2
42	-0.997244	31.985637	3.891536	0.014134	-0.977378	40.0
43	-0.994775	31.888093	3.898713	0.018048	-0.977323	32.5
44	-1.007999	32.888093	3.826365	0.019246	-0.977581	34.9
45	-0.988169	33.888093	3.756653	0.013213	-0.977571	34.4
46	-0.986607	34.888093	3.689435	0.014305	-0.977467	38.0
47	-0.988094	35.827828	3.628425	0.013706	-0.977511	39.1
48	-0.987619	36.827826	3.565680	0.012560	-0.977446	28.1
49	-0.998492	37.415696	3.529796	0.012637	-0.977506	33.8
50	-0.986387	38.410516	3.470690	0.012968	-0.977449	34.9
51	-0.985097	39.410516	3.413239	0.017326	-0.977461	33.6
52	-0.984168	40.410516	3.357658	0.012183	-0.977514	35.1
53	-0.997114	41.410516	3.303858	0.013518	-0.977475	39.5
54	-1.011129	42.407270	3.251922	0.012189	-0.977560	36.7
55	-0.974434	43.407179	3.201437	0.012684	-0.977467	26.9
56	-0.967334	43.981094	3.173162	0.009665	-0.977473	37.5
57	-0.969837	43.885650	3.177829	0.008535	-0.977450	34.8
58	-0.989378	44.884004	3.129675	0.007660	-0.977492	36.6
59	-0.974703	45.092954	3.119780	0.008195	-0.977451	32.2
60	-0.992508	46.090308	3.073402	0.011731	-0.977452	36.3
61	-0.975353	46.619316	3.049358	0.007557	-0.977449	31.4
62	-0.972008	47.618892	3.004938	0.013703	-0.977413	34.2
63	-0.980662	48.618863	2.961776	0.017916	-0.977601	39.0
64	-0.998756	49.618863	2.919836	0.008811	-0.977558	34.5
65	-0.969153	50.618861	2.879067	0.015335	-0.977546	33.9
66	-0.983149	51.618850	2.839421	0.012997	-0.977394	36.2
67	-0.971822	51.524021	2.843134	0.008441	-0.977475	31.1
68	-0.991828	52.523979	2.804466	0.008110	-0.977529	34.7
69	-1.003533	52.427242	2.808161	0.011767	-0.977569	38.3
70	-0.994845	52.331570	2.811825	0.013109	-0.977547	34.9
