1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
71	-0.974611	52.233976	2.815572	0.014407	-0.977500	32.9
72	-0.994087	52.136370	2.819329	0.011849	-0.977471	34.7
73	-0.979227	52.240824	2.815308	0.016121	-0.977473	38.1
74	-0.968976	53.240824	2.777387	0.013840	-0.977506	35.0
75	-0.988875	54.212728	2.741498	0.011960	-0.977455	35.4
76	-0.978582	54.220183	2.741226	0.010087	-0.977311	33.9
77	-0.970217	55.219442	2.705288	0.010072	-0.977443	42.0
78	-0.983223	56.219359	2.670257	0.015704	-0.977461	34.8
79	-0.988212	56.121752	2.673636	0.008753	-0.977483	36.5
80	-0.966886	57.121741	2.639413	0.008624	-0.977549	30.8
81	-0.991283	57.024249	2.642711	0.011163	-0.977488	35.7
82	-0.993583	56.926648	2.646021	0.013885	-0.977542	38.9
83	-0.983272	57.926647	2.612495	0.014073	-0.977485	38.1
84	-0.968382	57.829041	2.615730	0.010354	-0.977522	37.9
85	-0.968634	58.820868	2.583228	0.008409	-0.977513	36.8
86	-0.994855	58.724431	2.586353	0.008774	-0.977538	33.9
87	-0.986830	58.627666	2.589496	0.008439	-0.977492	37.6
88	-0.969312	58.537934	2.592417	0.011605	-0.977581	45.1
89	-0.991236	59.534824	2.560327	0.010690	-0.977623	35.2
90	-0.990425	59.437218	2.563434	0.014679	-0.977513	32.5
91	-0.990131	59.344401	2.566395	0.010764	-0.977575	37.3
92	-0.967564	60.344397	2.534846	0.010955	-0.977548	39.3
93	-0.984876	60.484997	2.530472	0.010819	-0.977546	29.8
94	-0.994123	60.387422	2.533506	0.013838	-0.977494	33.8
95	-0.989775	61.380456	2.502966	0.010867	-0.977563	33.1
96	-0.994490	62.380455	2.472948	0.014131	-0.977565	36.4
97	-1.000116	63.327961	2.445162	0.011503	-0.977466	33.9
98	-0.963285	64.327950	2.416506	0.012205	-0.977575	43.8
99	-0.982660	65.327950	2.388514	0.010233	-0.977584	33.7
