1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.717355	0.000000	6428.368345	0.004123	-0.691336	4960.9
1	-0.702021	0.000000	6428.368345	0.004300	-0.696466	426.1
2	-0.716058	1.000000	6136.169784	0.003988	-0.695307	412.4
3	-0.697156	2.000000	5869.379794	0.004085	-0.696907	415.4
4	-0.716304	3.000000	5624.822302	0.004092	-0.696466	408.7
5	-0.711469	4.000000	5399.829410	0.004485	-0.695647	414.6
6	-0.713855	5.000000	5192.143663	0.004662	-0.693197	412.3
7	-0.710184	6.000000	4999.842046	0.004116	-0.702055	407.5
8	-0.710774	7.000000	4821.276259	0.004236	-0.701866	424.0
9	-0.690466	8.000000	4655.025353	0.004074	-0.705001	411.2
10	-0.701980	9.000000	4499.857842	0.003870	-0.703096	414.0
11	-0.700426	10.000000	4354.701137	0.004095	-0.708529	416.8
12	-0.699390	11.000000	4218.616727	0.004254	-0.702797	434.3
13	-0.694005	12.000000	4090.779856	0.004321	-0.709191	419.5
14	-0.718591	13.000000	3970.462801	0.004574	-0.705714	408.4
15	-0.691665	14.000000	3857.021007	0.004046	-0.707634	418.3
16	-0.709817	15.000000	3749.881535	0.004063	-0.710322	418.5
17	-0.713241	16.000000	3648.533385	0.004495	-0.706860	432.7
18	-0.712277	17.000000	3552.519349	0.004385	-0.708325	419.9
19	-0.714473	18.000000	3461.429109	0.004593	-0.708680	413.9
20	-0.699723	19.000000	3374.893381	0.004563	-0.712046	410.6
21	-0.720819	20.000000	3292.578909	0.004196	-0.712988	416.7
22	-0.713206	21.000000	3214.184173	0.003970	-0.716008	414.9
23	-0.711904	22.000000	3139.435704	0.004488	-0.711233	426.8
24	-0.737035	23.000000	3068.084892	0.004309	-0.715379	424.2
25	-0.719818	24.000000	2999.905228	0.004028	-0.717098	414.8
26	-0.712388	25.000000	2934.689897	0.004084	-0.715710	411.7
27	-0.707758	26.000000	2872.249686	0.004148	-0.718637	417.2
28	-0.719059	27.000000	2812.411151	0.004367	-0.714613	410.3
29	-0.726350	28.000000	2755.015005	0.004134	-0.717058	413.0
30	-0.724540	29.000000	2699.914705	0.004382	-0.717234	433.9
31	-0.747275	30.000000	2646.975201	0.004241	-0.718379	441.3
32	-0.717776	31.000000	2596.071832	0.004047	-0.721920	426.0
33	-0.721142	32.000000	2547.089344	0.004465	-0.718940	432.4
34	-0.719081	33.000000	2499.921023	0.004854	-0.716152	426.7
35	-0.742796	34.000000	2454.467914	0.004437	-0.720424	412.7
36	-0.712922	35.000000	2410.638129	0.004191	-0.720280	417.8
37	-0.718582	36.000000	2368.346232	0.004224	-0.721133	417.0
38	-0.743809	37.000000	2327.512677	0.004236	-0.720480	431.3
39	-0.724821	38.000000	2288.063309	0.004237	-0.720635	438.7
40	-0.732472	39.000000	2249.928921	0.004227	-0.720064	422.4
41	-0.729618	40.000000	2213.044840	0.004332	-0.723325	423.9
42	-0.739457	41.000000	2177.350569	0.004277	-0.723074	422.1
43	-0.747003	42.000000	2142.789448	0.004328	-0.723274	425.5
44	-0.729972	43.000000	2109.308363	0.003744	-0.724564	425.1
45	-0.728381	44.000000	2076.857465	0.004229	-0.723284	419.4
46	-0.710033	45.000000	2045.389928	0.003908	-0.725217	413.8
47	-0.750277	46.000000	2014.861720	0.004273	-0.723879	419.2
48	-0.729184	47.000000	1985.231401	0.004747	-0.722936	441.8
49	-0.733108	48.000000	1956.459931	0.004225	-0.724399	434.9
50	-0.709712	49.000000	1928.510504	0.003939	-0.723563	429.7
51	-0.748853	50.000000	1901.348384	0.004206	-0.724054	419.4
52	-0.722088	51.000000	1874.940767	0.004349	-0.724044	415.3
53	-0.744936	52.000000	1849.256647	0.004276	-0.725160	423.8
54	-0.719966	53.000000	1824.266693	0.003767	-0.725520	420.9
55	-0.745944	54.000000	1799.943137	0.004609	-0.724415	418.0
56	-0.741334	55.000000	1776.259674	0.004265	-0.726607	420.2
57	-0.715876	56.000000	1753.191367	0.003773	-0.726216	411.2
58	-0.722347	56.999999	1730.714567	0.003739	-0.726582	420.5
59	-0.732310	57.999999	1708.806788	0.004295	-0.725830	423.1
60	-0.737207	58.999999	1687.446703	0.004315	-0.726341	424.8
61	-0.721575	59.999999	1666.614027	0.003909	-0.726771	417.1
62	-0.717070	60.999999	1646.289466	0.004262	-0.725526	409.2
63	-0.732631	61.999999	1626.454653	0.004342	-0.727706	442.6
64	-0.723889	62.999999	1607.092097	0.004378	-0.726790	424.6
65	-0.722753	63.999999	1588.185131	0.004416	-0.726091	412.0
66	-0.724296	64.999999	1569.717862	0.004252	-0.727380	417.9
67	-0.719828	65.999999	1551.675128	0.003831	-0.727659	416.9
68	-0.730958	66.999999	1534.042456	0.003884	-0.726945	408.6
69	-0.730970	67.984626	1517.068080	0.004317	-0.727475	427.6
70	-0.740370	68.984626	1500.208888	0.004205	-0.728005	437.1
71	-0.717116	69.984626	1483.720290	0.003609	-0.728089	427.5
72	-0.744041	70.984626	1467.590200	0.003961	-0.728017	425.6
73	-0.734611	71.984626	1451.807051	0.004205	-0.728297	417.7
74	-0.734449	72.984626	1436.359769	0.004316	-0.728003	423.6
75	-0.724440	73.984626	1421.237745	0.003848	-0.728747	430.6
76	-0.730848	74.984626	1406.430814	0.004422	-0.728584	423.8
77	-0.740551	75.984626	1391.929228	0.004520	-0.728121	420.0
78	-0.731771	76.984626	1377.723640	0.004344	-0.728815	412.2
79	-0.743250	77.984626	1363.805079	0.004433	-0.728926	423.5
80	-0.736418	78.984626	1350.164931	0.004416	-0.728847	420.7
81	-0.715754	79.984626	1336.794926	0.004239	-0.727408	420.9
82	-0.754224	80.984626	1323.687118	0.004673	-0.728593	433.0
83	-0.753118	81.984626	1310.833868	0.004158	-0.728049	409.3
