1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-1.211244	0.000000	1393.623550	0.003521	-1.208258	386.8
1	-1.204844	0.000000	1393.623550	0.007455	-1.160337	36.3
2	-1.172434	1.000000	1330.277025	0.011630	-1.161434	32.6
3	-1.174842	2.000000	1272.438894	0.010833	-1.180036	31.8
4	-1.191217	3.000000	1219.420607	0.011101	-1.166921	35.4
5	-1.191154	4.000000	1170.643782	0.010248	-1.196722	32.3
6	-1.205753	5.000000	1125.619021	0.010070	-1.175647	30.6
7	-1.189314	6.000000	1083.929428	0.010093	-1.200271	38.0
8	-1.220291	7.000000	1045.217663	0.009264	-1.192377	28.9
9	-1.193048	8.000000	1009.175674	0.009454	-1.199388	36.1
10	-1.198195	9.000000	975.536485	0.008898	-1.200432	28.6
11	-1.204906	10.000000	944.067566	0.010020	-1.189566	30.1
12	-1.192606	11.000000	914.565455	0.011099	-1.191773	33.9
13	-1.197277	12.000000	886.851350	0.010829	-1.194408	42.1
14	-1.177919	13.000000	860.767487	0.010692	-1.196332	31.0
15	-1.198317	14.000000	836.174130	0.009861	-1.206811	34.1
16	-1.207421	15.000000	812.947071	0.009278	-1.202636	34.4
17	-1.216022	16.000000	790.975529	0.010056	-1.203044	40.0
18	-1.229307	17.000000	770.160383	0.010736	-1.200224	24.8
19	-1.215922	18.000000	750.412681	0.009670	-1.213272	33.7
20	-1.217575	19.000000	731.652364	0.008139	-1.212428	41.4
21	-1.212691	20.000000	713.807184	0.008339	-1.214022	40.0
22	-1.217092	21.000000	696.811775	0.009035	-1.209292	36.1
23	-1.230022	22.000000	680.606850	0.009631	-1.211958	28.9
24	-1.219538	23.000000	665.138513	0.008812	-1.216343	32.2
25	-1.236072	24.000000	650.357657	0.008611	-1.214329	42.3
26	-1.206632	25.000000	636.219447	0.007986	-1.219918	31.0
27	-1.202067	26.000000	622.682863	0.006547	-1.222340	26.2
28	-1.231937	27.000000	609.710303	0.006242	-1.222003	30.6
29	-1.231688	28.000000	597.267236	0.007112	-1.219842	33.3
30	-1.231840	29.000000	585.321891	0.007106	-1.223005	37.4
31	-1.213464	30.000000	573.844991	0.006317	-1.223628	33.5
32	-1.219390	31.000000	562.809511	0.006095	-1.224363	44.8
33	-1.237658	32.000000	552.190463	0.006125	-1.224790	28.0
34	-1.226867	33.000000	541.964714	0.005584	-1.226067	34.3
35	-1.191976	34.000000	532.110810	0.004770	-1.227176	34.0
36	-1.249235	35.000000	522.608831	0.005193	-1.225943	41.5
37	-1.233116	36.000000	513.440255	0.005514	-1.227081	32.2
38	-1.246356	37.000000	504.587837	0.005322	-1.226874	44.7
39	-1.245943	38.000000	496.035501	0.005301	-1.227821	36.0
40	-1.222735	39.000000	487.768243	0.004290	-1.229215	30.9
