1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.691098	0.000000	10.947557	0.009272	-0.702620	612.3
1	-0.688575	0.000000	10.947557	0.013448	-0.701787	103.1
2	-0.715631	0.412063	10.736878	0.021905	-0.701118	92.9
3	-0.681799	1.412063	10.257811	0.021993	-0.702224	91.5
4	-0.701644	2.412063	9.819669	0.021224	-0.702299	94.9
5	-0.700668	3.412063	9.417422	0.027729	-0.700632	81.9
6	-0.711008	4.412063	9.046834	0.040491	-0.699613	83.6
7	-0.695718	5.412063	8.704307	0.040593	-0.700859	94.7
8	-0.698563	6.412063	8.386771	0.014214	-0.702584	90.1
9	-0.705483	7.412063	8.091588	0.009301	-0.702333	95.3
10	-0.703903	8.180880	7.878402	0.007964	-0.702841	91.6
11	-0.708235	9.150578	7.625018	0.008690	-0.702390	92.3
12	-0.720189	9.162263	7.622064	0.014196	-0.701879	95.6
13	-0.712523	10.162219	7.377482	0.014573	-0.702867	85.0
14	-0.701056	11.162219	7.148098	0.019498	-0.702392	91.2
15	-0.696261	11.080022	7.166414	0.016059	-0.702682	92.1
16	-0.697931	12.080022	6.949775	0.010197	-0.702965	121.3
17	-0.716027	13.080022	6.745850	0.012061	-0.702992	92.8
18	-0.708361	12.998618	6.762001	0.013320	-0.702859	115.1
19	-0.729342	13.998618	6.568794	0.033456	-0.701160	92.9
20	-0.699933	14.998618	6.386320	0.012648	-0.702183	107.1
21	-0.698091	15.998618	6.213711	0.014053	-0.702376	98.4
22	-0.703711	16.978286	6.053425	0.019475	-0.702546	123.9
23	-0.727776	17.978286	5.898122	0.014241	-0.703075	97.1
24	-0.694592	18.978286	5.750589	0.020591	-0.701859	104.6
25	-0.695188	19.978286	5.610257	0.027978	-0.702401	109.1
26	-0.719486	20.978286	5.476610	0.022926	-0.702411	96.9
27	-0.699537	21.978286	5.349183	0.014965	-0.702433	114.2
28	-0.716132	22.978286	5.227550	0.021117	-0.702455	110.0
29	-0.709799	22.896101	5.237338	0.022820	-0.703061	95.4
30	-0.722858	23.896101	5.120683	0.014386	-0.702995	107.9
31	-0.724600	24.896101	5.009112	0.021578	-0.702333	114.9
32	-0.702908	25.895806	4.902330	0.018967	-0.703023	130.9
33	-0.703729	26.895806	4.799976	0.012781	-0.702986	105.4
34	-0.690449	26.854506	4.804118	0.021429	-0.702803	95.5
35	-0.727040	27.854506	4.705783	0.011021	-0.702972	84.0
36	-0.709228	28.854506	4.611393	0.011906	-0.702926	100.5
37	-0.705207	28.772309	4.619008	0.013590	-0.702951	99.4
38	-0.685127	29.772309	4.528033	0.010520	-0.703021	101.4
39	-0.727294	30.771285	4.440661	0.007223	-0.703034	91.8
40	-0.704557	30.689094	4.447722	0.007102	-0.702926	90.2
41	-0.722201	30.781992	4.439742	0.012953	-0.703066	90.8
42	-0.700372	31.781991	4.355628	0.006080	-0.703082	118.1
43	-0.728066	31.699822	4.362419	0.007819	-0.702953	94.7
44	-0.718094	31.622320	4.368844	0.008950	-0.703016	90.5
45	-0.693320	32.622011	4.287394	0.007383	-0.703006	91.7
46	-0.705704	32.539910	4.293969	0.023497	-0.702683	89.4
47	-0.711001	32.457896	4.300557	0.009130	-0.702722	94.0
48	-0.714892	33.457894	4.221586	0.014507	-0.702955	100.1
49	-0.703333	33.378758	4.227730	0.012669	-0.702633	101.5
50	-0.692822	34.378758	4.151388	0.009086	-0.702937	102.1
51	-0.709004	35.378758	4.077754	0.016227	-0.702678	91.7
52	-0.697024	35.296561	4.083708	0.012494	-0.702835	90.1
53	-0.696166	36.296561	4.012435	0.019241	-0.702344	106.8
54	-0.703209	37.296530	3.943609	0.014268	-0.702842	110.8
55	-0.692530	38.296530	3.877102	0.014374	-0.703034	95.7
56	-0.706716	38.214333	3.882484	0.012904	-0.702844	92.2
57	-0.703930	38.132168	3.887879	0.007361	-0.702893	104.6
