1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	ExactMetric0	Time[ms]
0	-0.960668	0.000000	12.990743	0.011591	-0.961746	265.0
1	-0.976345	0.000000	12.990743	0.013788	-0.961862	34.0
2	-0.962951	0.999999	12.400255	0.020551	-0.960589	35.0
3	-0.972193	1.999999	11.861113	0.025379	-0.960424	40.0
4	-0.972694	2.999999	11.366900	0.023869	-0.961404	33.9
5	-0.973007	3.999999	10.912224	0.018463	-0.961343	25.5
6	-0.960824	4.999999	10.492523	0.013821	-0.962277	25.7
7	-0.972550	5.999999	10.103911	0.018861	-0.960608	33.3
8	-0.943328	6.999999	9.743057	0.016950	-0.962314	36.0
9	-0.955627	7.999999	9.407090	0.007244	-0.962380	32.1
10	-0.952247	8.999999	9.093520	0.017207	-0.961539	34.6
11	-0.958610	9.999999	8.800181	0.020603	-0.962269	39.0
12	-0.971624	10.999999	8.525175	0.015888	-0.962071	33.5
13	-0.970381	11.999999	8.266836	0.010436	-0.962661	21.5
14	-0.950479	12.999999	8.023694	0.007431	-0.962489	28.4
15	-0.970701	12.997759	8.024223	0.009029	-0.962640	30.8
16	-0.976427	13.997745	7.794948	0.009402	-0.962656	37.6
17	-0.976216	14.997745	7.578408	0.008633	-0.962661	34.1
18	-0.975859	15.989771	7.375163	0.014090	-0.962024	33.8
19	-0.972337	16.989771	7.181028	0.010639	-0.962575	35.1
20	-0.980344	17.989771	6.996850	0.015236	-0.961857	32.2
21	-0.972111	18.989771	6.821884	0.017349	-0.962573	35.3
22	-0.975864	19.989771	6.655456	0.007961	-0.962704	40.0
23	-0.959005	20.989771	6.496954	0.007771	-0.962548	32.0
24	-0.972256	21.989771	6.345826	0.010997	-0.962664	29.1
25	-0.974809	22.989764	6.201570	0.012279	-0.962341	22.6
26	-0.961491	23.989764	6.063726	0.016498	-0.962242	31.3
27	-0.952082	24.989764	5.931876	0.008139	-0.962544	34.4
28	-0.960675	25.989764	5.805639	0.003126	-0.962533	36.5
29	-0.972190	25.909523	5.815570	0.011055	-0.962485	31.1
30	-0.953633	26.054183	5.797691	0.009744	-0.962531	34.8
31	-0.968258	27.054183	5.677042	0.006196	-0.962481	28.7
32	-0.977653	28.054041	5.561328	0.005945	-0.962467	30.9
33	-0.968646	27.973198	5.570508	0.006114	-0.962539	25.1
34	-0.957633	28.971931	5.459177	0.011082	-0.962450	29.8
35	-0.980821	29.835120	5.366479	0.005363	-0.962359	34.4
36	-0.984119	29.769930	5.373370	0.008514	-0.962494	42.8
37	-0.979010	30.667233	5.280050	0.011400	-0.962400	38.1
38	-0.994573	31.667233	5.179797	0.007939	-0.962577	35.1
